# command	official_doc	technical_report_or_model_card	source_grade	status	next_action
cc-kimi	https://www.kimi.com/code/docs/en/	https://huggingface.co/moonshotai/Kimi-K2.6	A	learned-usable	Switched launcher/registry to the stable kimi-for-coding route; keep prompt-cache on by default and leave thinking-body controls opt-in/deferred.
cc-glm	https://docs.z.ai/devpack/tool/claude	https://docs.z.ai/guides/llm/glm-5.1	A	learned-usable	Default endpoint moved to api.z.ai with GLM_BASE_URL override; added GLM_THINKING auto/explicit body control and ZAI/BIGMODEL key aliases.
cc-qwen	https://docs.qwencloud.com/coding-plan/tools/claude-code	https://arxiv.org/abs/2603.00729	A	learned-usable	Split Coding Plan, Token Plan, and PayG endpoints; added token-plan/profile aliases, 64K default output, and QWEN_ENABLE_THINKING body opt-in/out.
cc-deepseek	https://api-docs.deepseek.com/guides/agent_integrations/claude_code	https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro	A	learned-usable	Matches official Claude Code env guidance; instant/no-thinking now injects disabled-thinking body while pro keeps max effort.
cc-doubao	https://www.volcengine.com/docs/82379/1928262	https://research.doubao.com/en/blog/seed-2-0-official-launch	A	learned-live-tested	latest/pinned/Seed2.0/router respond on api/coding; added vision/frontend profile alias and full max_completion_tokens opt-in while keeping thinking body off by default.
cc-minimax	https://platform.minimax.io/docs/api-reference/text-anthropic-api	https://www.minimax.io/models/text/m27	A	learned-usable	Added cn/global endpoint selection, stable/highspeed/cheap profiles, 64K Anthropic max_tokens cap, and opt-in temperature/parallel_tool_calls body fields.
cc-mimo	https://www.mimo-v2.com/docs/integration/claude-code	https://www.mimo-v2.com/models/mimo-v2-pro	B	learned-live-tested	Added pro/latest/multimodal/fast profiles; keep token-plan-sgp Pro default while exposing official/public V2.5, Omni, and Flash routes where accounts support them.
cc-stepfun	https://platform.stepfun.ai/docs/en/step-plan/integrations/reasoning-api	https://huggingface.co/stepfun-ai/Step-3.5-Flash-FP8	A	learned-live-tested	Default endpoint moved to api.stepfun.ai; low/high effort only injects output_config for 2603, and none/no-thinking now injects disabled-thinking body.
cc-longcat	https://longcat.chat/platform/docs/ClaudeCode.html	https://huggingface.co/meituan-longcat/LongCat-Flash-Thinking-2601	A	learned-live-tested	Preview remains agent default with 64K cap; Flash-Chat gets 128K, Lite/Thinking keep higher documented caps but Thinking remains explicit profile.
cc-gemini	https://ai.google.dev/gemini-api/docs/openai	https://ai.google.dev/gemini-api/docs/models/gemini-3.1-pro-preview	A	learned-live-tested	Updated picker/tiering and ccr provider list; GEMINI_REASONING_EFFORT=medium reached outgoing ccr request as reasoning_effort.
cc-grok	https://docs.x.ai/developers/models/grok-4.3	https://docs.x.ai/developers/model-capabilities/text/multi-agent	A	learned-live-tested	Direct Responses call to grok-4.3 works and returns typed reasoning/message output; keep ccr chat stable until a Responses-to-Anthropic bridge exists.
cc-local	local	local-ollama-tags	A	local-learned	Dynamic picker now reads remote Ollama tags with qwen3-coder/codestral/gpt-oss fallback; recheck when M5 Ollama is reachable.
